Rank,Attraction
1,Dream Gardens Park
2,Salbyksky Mound
3,Spaso-Preobrazhensky Cathedral
4,Pushkin Park
5,Sculpture Little Prince
6,City Abakan Church in Honor of St. Constantine and Helena
7,The History Museum of The Krasnoyarsk Railroad on The Abakan Station
8,Exotarium
9,Khakass National Museum of Local Lore
10,Monument to Ivan Yarygin
11,Inspiration Park
12,Monument to St. Peter and Fevronia
13,Sculpture Granite of Science
14,Victory Park
15,Samokhval Recreation Park
16,Eco-Tourist Complex at Oglakhaty
17,Abakan Art Gallery
18,Fairy Tale Khakasskiy National Puppet Theater
19,Love Mountain
20,Monument to Watermelon
21,Khakassian Lermontov Drama Theatre
22,Eaglet Children's Park
23,Sculpture Dreamer
24,Stele Lora
25,Statue of Lenin
26,Monument to Umka
27,Komsomolskiy Park
28,Pervomaiskaya Square
29,Bratskiy Bridge
