Rank,Attraction
1,Aberdeen Maritime Museum
2,Footdee (Fittie)
3,Duthie Park Winter Gardens
4,Slains Castle
5,The Gordon Highlanders Museum
6,Johnston Gardens
7,Balmedie Beach
8,The Tolbooth Museum
9,Duthie Park
10,Old Aberdeen
11,Hazlehead Park
12,St Machar's Cathedral
13,Aberdeen Art Gallery
14,City Beach
15,Pitmedden Garden & Museum of Farming Life
16,Serco Northlink Ferries
17,Seaton Park
18,His Majesty's Theatre (HMT)
19,Codona's Aberdeen
20,King's College Chapel
21,The Den & The Glen
22,Marischal College
23,University of Aberdeen Zoology Museum
24,Union Square
25,Old Deeside Railway Line
26,North East Falconry Centre
27,Crathie Church
28,Aberdeen Harbour
29,P&J Live
30,Aberdeen Science Centre
