Rank,Attraction
1,Stan Hywet Hall & Gardens
2,Akron Zoo
3,F.A. Seiberling Nature Realm
4,Akron Civic Theatre
5,Dr. Bob's Home
6,Indian Signal Tree
7,Lock 3
8,Akron Art Museum
9,Perkins Stone Mansion & John Brown House
10,Dr. Bob's Gravesite
11,Akronym Brewing
12,Portage Lakes State Park
13,InfoCision Stadium - Summa Field
14,Goodyear Airdock
15,Akron Children's Museum
16,Glendale Cemetery
17,Akron-Summit County Public Library
18,Goodyear Theater
19,Cascade Valley Park
20,Chapel Hill Mall
21,Hower House
22,Springfield Lake Park
23,Overlook Area
24,Springfield Bog
25,Nativity Museum and replica of Bethlehem's cave
26,Cummings Center for the History of Psychology
27,John S. Knight Convention Center
28,None Too Fragile Theatre
29,Firestone Stadium
30,Cascade Locks Park Association
