Rank,Attraction
1,Bunk'Art 1
2,Mount Dajti
3,Mirror (Pasqyra) Beach
4,Lekuresi Castle
5,Bora Bora Beach
6,BunkArt 2
7,Neasden Lane Beach
8,Pulebardha Beach
9,Duka Winery and Vineyard
10,Gjipe Beach
11,Dajti Ekspres “Cable Car”
12,Ohana Beach Bar
13,Rozafa Castle
14,Lori Beach
15,Ksamil Beach
16,Monastery Beach
17,Vivar Kanal
18,Plazhi Paradise
19,Saranda Embankment
20,Durres Archaeological Museum
21,The Blue Eye
22,Berat Castle
23,Skanderbeg Square
24,Durres Amphitheatre
25,Ohana Beach Bar Ksamil
26,Africana Ksamil
27,Scandinavian Tourist Center
28,Finikas Lines
29,Dhermi Beach
30,Monastery of 40 Saints
