Rank,Attraction
1,Heritage Park Historical Village
2,Banff Gondola
3,West Edmonton Mall
4,The Calgary Zoo
5,Moraine Lake
6,Athabasca Falls
7,Maligne Lake
8,Canmore Cave Tours
9,Fort Edmonton Park
10,Icefields Parkway
11,Elk Island National Park
12,Grassi Lakes
13,Peyto Lake
14,Dinosaur Provincial Park
15,Calgary Stampede
16,Johnston Canyon
17,Athabasca Glacier
18,Royal Tyrrell Museum
19,Alberta Legislature Building
20,High Level Bridge Streetcar
21,Lake Louise
22,TELUS World of Science - Edmonton
23,Whyte Avenue
24,Muttart Conservatory
25,Winspear Centre
26,Bower Ponds
27,Crypt Lake Trail
28,Prince's Island Park
29,Troll Falls
30,Banff National Park
