Rank,Attraction
1,Castillo de Santa Barbara
2,Guadalest Valley
3,Platja del Postiguet
4,Alicante Tram
5,Passeig Esplanada d'Espanya
6,Playa de San Juan
7,Barrio Santa Cruz
8,Mercat Central d'Alacant
9,MARQ Museo Arqueologico de Alicante
10,Rambla Méndez Núñez
11,Museo The Ocean Race
12,Parc El Palmerar
13,Museo de Hogueras
14,Basilica Santa Maria
15,Museo de Arte Contemporaneo de Alicante (MACA)
16,Monte Benacantil
17,Plaça Gabriel Miró
18,Plaza de Los Luceros
19,Paseo del Puerto Viejo
20,Puerto Deportivo
21,Plaza de Toros y Museo Taurino de Alicante
22,Calle de Las Setas
23,Playa de Guardamar
24,Estación Alacant Terminal
25,Centro Comercial Plaza Mar 2
26,Casa Carbonell
27,Concatedral Sant Nicolau de Bari d'Alacant
28,Alicante Town Hall
29,Plaça Porta del Mar
30,The Santa Faz Monastery
