Rank,Attraction
1,Coca-Cola Park
2,Allentown Fish Hatchery
3,Allentown Farmers Market
4,PPL Center
5,Allentown Rose Gardens
6,America On Wheels Museum
7,Dorney Park & Wildwater Kingdom
8,Mack Trucks Historical Museum
9,Merchants Square Model Train Exhibit
10,Da Vinci Science Center
11,Allentown Art Museum
12,Liberty Bell Museum
13,Gallows Hill Spirits
14,Trexler Memorial Park
15,Cedar Beach Park
16,Weil Antique Center
17,The Colony Meadery
18,Lehigh Valley Mall
19,J Birney Crum stadium
20,The Museum of Indian Culture
21,Lehigh County Heritage Center
22,The  Soldiers Sailors Monument
23,Miller Symphony Hall
24,Haines Mill Museum
25,Xplorer Spirits - Kilimanjaro Distillery
26,Trout Hall
27,Allentown Fairgrounds
28,Hamiton Crossings
29,County Seat Spirits
30,Martin Art Gallery
