Rank,Attraction
1,Cowgirls and Cowboys in the West
2,Jack Sisemore Traveland RV Museum
3,American Quarter Horse Hall of Fame & Museum
4,Cadillac Ranch
5,Amarillo Botanical Gardens
6,Texas Air & Space Museum
7,Bill's Backyard Classics
8,Route 66 Historic District
9,Amarillo Zoo
10,Don Harrington Discovery Center
11,Second Amendment Cowboy
12,Wonderland Amusement Park
13,Helium Monument
14,Huge Pair of Legs
15,Kwahadi Museum of the American Indian
16,Texas Travel Information Center
17,Harrington House
18,Globe-News Center for the Performing Arts
19,Texas Panhandle War Memorial
20,I am Rt 66 Visitor Center
21,Arts in the Sunset
22,Amarillo Museum of Art
23,Westgate Mall
24,Amarillo Civic Center Complex
25,Richard Daniel Baker Peace Park
26,Amarillo Railroad Museum
27,"Amarillo Little Theatre, Inc."
28,Madam Queen
29,Hodgetown Stadium
30,Pondaseta Brewing
