Rank,Attraction
1,Disney California Adventure Park
2,Disneyland Park
3,Fantasmic!
4,Radiator Springs Racers
5,Downtown Disney District
6,Anaheim Packing District
7,Angel Stadium of Anaheim
8,Guardians of the Galaxy – Mission: BREAKOUT!
9,Soarin' Around The World
10,Indiana Jones Adventure
11,Space Mountain
12,Incredicoaster
13,World of Color - Celebrate
14,Haunted Mansion
15,Pirates of the Caribbean
16,Anaheim Convention Center
17,Star Tours - The Adventures Continue
18,Big Thunder Mountain Railroad
19,Luigi's Rollickin' Roadsters
20,It's a Small World
21,Splash Mountain
22,Toy Story Midway Mania!
23,Matterhorn Bobsleds
24,Honda Center
25,Adventure City
26,Star Wars: Galaxy’s Edge
27,Grizzly River Run
28,Buzz Lightyear Astro Blasters
29,The Disney Gallery
30,"Monsters, Inc. Mike & Sulley to the Rescue!"
