Rank,Attraction
1,Alaska Railroad
2,Alaska Wildlife Conservation Center
3,Portage Glacier
4,Tony Knowles Coastal Trail
5,Alyeska Aerial Tram
6,Byron Glacier Trail
7,Winner Creek Trail Hand Tram
8,Flattop Mountain Trail
9,Alyeska Ski Area
10,Anchorage Museum at Rasmuson Center
11,Chugach State Park
12,Alaska Native Heritage Center
13,Crow Creek Mine
14,Virgin Creek Falls Trail
15,Eagle River Nature Center
16,Girdwood Brewing Company
17,Begich Boggs Visitor Center
18,Alaska Railroad Depot
19,Cook Inlet
20,McHugh Creek Recreation Area
21,Kincaid Park
22,Lake Eklutna
23,The Girdwood Center for the Visual Arts
24,Alaska Zoo
25,Big Game Alaska
26,The Roundhouse at Alyeska
27,Potter Marsh Bird Sanctuary
28,Lake Hood Harbor
29,Visit Anchorage Log Cabin Visitor Information Center
30,Iditarod Trail Sled Dog Race
