Rank,Attraction
1,Casa de la Vall
2,Grandvalira
3,La Noblesse du Temps
4,Centro Historico
5,Sola Irrigation Canal Trail
6,Museu del Tabac
7,Tobotronc
8,Pas De La Casa Ski
9,Tristaina Lake Trail
10,Mirador del Roc del Quer
11,Soldeu - El Tarter
12,Vallnord Pal-Arinsal
13,Puente de Paris
14,Parc Central
15,Illa Carlemany Shopping Center
16,Sant Esteve Church
17,Madriu-Perafita-Claror Valley
18,Plaza del Poble
19,Andorra 2000 Centre Commercial
20,Rec del Sola
21,Barri Antic
22,Engolasters Lake-Les Pardines Path
23,Church of Sant Joan de Caselles
24,Les Abelletes Lake Trail
25,Comapedrosa Highlands Trail
26,7 Poetes
27,E.Leclerc Hiper
28,Sanctuaire de Canòlich
29,Casa de la Vall
30,Farga Rossell
