Rank,Attraction
1,Michigan Stadium
2,University of Michigan
3,Matthaei Botanical Gardens
4,Ann Arbor Hands-On Museum
5,Law Quadrangle
6,Main Street
7,University of Michigan Museum of Art
8,University of Michigan Museum of Natural History
9,Nichols Arboretum
10,Gallup Park
11,Hill Auditorium
12,The Creature Conservancy
13,Kerrytown
14,Michigan Theater
15,Kelsey Museum of Archaeology
16,Nickels Arcade
17,State Street
18,Yost Ice Arena
19,Kerrytown Markets and Shops
20,Briarwood Mall
21,Hudson Mills Metropark
22,The Petting Farm at Domino's Farms
23,Bløm Meadworks
24,Ann Arbor Distilling Company
25,Gerald R. Ford Presidential Library
26,Leslie Science Center
27,County Farm Park
28,Ann Arbor Farmers Market
29,Cobblestone Farm
30,De Angelis Cantina del Vino
