Rank,Attraction
1,Musical Instrument Museum
2,Chapel of the Holy Cross
3,Antelope Canyon
4,Taliesin West
5,Arizona-Sonora Desert Museum
6,Grand Canyon South Rim
7,Walnut Canyon National Monument
8,Tonto National Forest
9,Bell Rock
10,Cathedral Rock
11,Horseshoe Bend
12,Desert Botanical Garden
13,Usery Mountain Regional Park
14,Superstition Mountains
15,Havasu Falls
16,Grand Canyon Railway
17,Mill Avenue District
18,Watson Lake
19,Lower Antelope Canyon
20,Commemorative Air Force Museum
21,Lake Havasu
22,Camelback Mountain
23,McCormick-Stillman Railroad Park
24,Old Town Scottsdale
25,Mount Lemmon
26,Devil's Bridge Trail
27,Pinnacle Peak Park
28,Yuma Territorial Prison State Historic Park
29,Tempe Town Lake
30,Jerome State Historic Park
31,Monument Valley
