Rank,Attraction
1,Acropolis
2,Acropolis Museum
3,Parthenon
4,National Archaeological Museum
5,Plaka
6,Mount Lycabettus
7,Panathenaic Stadium
8,Herod Atticus Odeon
9,Ancient Agora of Athens
10,Philopappos Hill
11,Temple of Hephaestus
12,Anafiotika
13,Benaki Museum
14,Monastiraki
15,Museum of Cycladic Art
16,Erechtheion
17,Temple of Olympian Zeus
18,Hellenic Motor Museum
19,Theater of Dionysus
20,Byzantine and Christian Museum
21,Temple of Athena Nike
22,Museum of Illusions Athens
23,War Museum
24,Kotsanas Museum of Ancient Greek Technology
25,Areopagus
26,National Garden
27,Psirri
28,Plateia Syntagmatos
29,Kerameikos Cemetery
30,Central Market
