Rank,Attraction
1,Fuggerei
2,Botanischer Garten Augsburg
3,Augsburger Puppentheatermuseum
4,Augsburg Town Hall
5,Schaezlerpalais
6,Augsburg Zoo
7,Cathedral of St. Maria (Dom St. Maria)
8,Church of St. Ulrich and St. Afra
9,"St. Anne's Church, Augsburg"
10,Perlach Tower
11,Weberhaus
12,Kirche St. Moritz
13,Mazda Classic - Automobil Museum Frey
14,Hochablass
15,WWK Arena Augsburg
16,Fugger Und Welser Erlebnismuseum
17,Herkulesbrunnen
18,MAN Museum
19,Textil- und Industriemuseum
20,City Galerie
21,Leopold-Mozart-Haus
22,St. Peter am Perlach
23,Rotes Tor
24,Rathausplatz
25,Augustusbrunnen
26,Brechthaus
27,Fuggerhäuser
28,Lechviertel
29,Juedisches Museum Augsburg Schwaben
30,Maximilianmuseum
