Rank,Attraction
1,Pont del Petroli
2,Badalona Beach
3,Museu de Badalona
4,Rambla de Badalona
5,Anís del Mono sculpture
6,Platja del Coco
7,Monasterio de San Jeronimo de la Murtra
8,Parque de Can Solei i Ca l'Arnus
9,Playa de la Estacion
10,Poblat Iberic Puig Castellar
11,Màgic Badalona
12,Dalt la Vila
13,Casa Enric Pavillard
14,La Cruz de Montigala
15,Torre Mena
16,Iglesia de Sant Josep
17,Carrer de Mar
18,Parc de Turo Caritg
19,Monumento a Evaristo Arnus
20,Puerto De Badalona
21,Mercat Municipal de Torner
22,Platja del Cristall
23,Monumento a la Sardana
24,Centre Comercial Montigalà
25,Oficina de Turisme
26,Club Tennis Taula Badalona
27,Platja de la Barca Maria
28,Teatre Zorilla
29,Abduction Badalona Escape Room
30,BAR 1886
