Rank,Attraction
1,Basilica San Nicola
2,Citta Vecchia - Bari
3,Centro Storico
4,Lungomare e Murat
5,Cattedrale di San Sabino
6,Teatro Petruzzelli
7,Strada delle Orecchiette
8,Piazza del Ferrarese
9,Il Succorpo della Cattedrale di Bari
10,Torre a Mare
11,Castello Normanno Svevo
12,Piazza Mercantile
13,Palazzo Mincuzzi
14,Teatro Margherita
15,Porto Vecchio
16,Chiesa Russa San Nicola
17,Palazzo Fizzarotti
18,Pane e Pomodoro Beach
19,Palazzo dell'Acquedotto Pugliese
20,Lido San Francesco alla Rena
21,Sacrario Militare dei Caduti d'Oltremare
22,Muraglia di Bari Vecchia
23,Parco 2 Giugno
24,Bari War Cemetery
25,Pinacoteca Corrado Giaquinto
26,Fiera del levante
27,Corso Cavour
28,Torre Quetta
29,Statua di San Nicola
30,Arco delle Meraviglie
