Rank,Attraction
1,Fine Arts Museum Basel - Kunstmuseum
2,Basel's Old Town
3,Basel Minster
4,Zoo Basel
5,Rheinfähre
6,Basel Paper Mill Museum
7,Rathaus
8,Jean Tinguely Museum
9,Tierpark Lange Erlen
10,Basel Main Station
11,Tinguely-Brunnen
12,Markthalle Basel
13,Merian Garten
14,Spielzeug Welten Museum Basel
15,Naturhistorisches Museum Basel
16,Rheinufer Basel
17,Marktplatz
18,Art Basel
19,Spalen Gate
20,Basel Historical Museum - Barfuesserkirche
21,Botanischer Garten der Universität
22,Müensterplatz
23,Mittlere Brücke
24,Offene Kirche Elisabethen
25,Kannenfeldpark
26,Pharmaziemuseum Universitat Basel
27,Basel Autumn Fair
28,Dreilaendereck
29,Stadion St Jakobpark
30,Basel Historical Museum – Museum of Music
