Rank,Attraction
1,Crumlin Road Gaol
2,Titanic Belfast
3,Peace Wall
4,Ulster Museum
5,St. George's Market
6,City Hall
7,HMS Caroline
8,Falls Road
9,SS Nomadic
10,Botanic Gardens
11,Cathedral Quarter
12,Parliament Buildings
13,Cave Hill Country Park
14,Streamvale Open Farm
15,Shankill Road
16,National Football Stadium at Windsor Park
17,Grand Opera House
18,Queen's University
19,Belfast Castle
20,Visit Belfast
21,W5
22,Stenaline
23,C.S. Lewis Square
24,MAC
25,Belfast Cathedral - The Cathedral Church of St. Anne
26,Victoria Square Shopping Centre
27,Black Mountain
28,Stena Superfast VIII
29,Irish Republican History Museum
30,Kingspan Stadium
