Rank,Attraction
1,High Desert Museum
2,Tumalo Falls
3,Newberry National Volcanic Monument
4,Pilot Butte State Scenic Viewpoint
5,Lava Lands Visitor Center
6,Sparks Lake
7,Lava River Cave
8,Deschutes River
9,Mt. Bachelor Ski Area
10,Deschutes National  Forest
11,Old Mill District
12,Todd Lake
13,Drake Park
14,Deschutes Brewery
15,Hosmer Lake
16,Deschutes River Trail
17,Tumalo State Park
18,South Sister
19,Shevlin Park
20,Phil's Trailhead
21,South Twin Lake
22,Oregon Trail of Dreams
23,Oregon Badlands Wilderness Trails
24,Boneyard Beer
25,Falls Creek Trail to Green Lake
26,Bend Distillery
27,Evoke Winery (formerly Naked Winery)
28,Monkless Belgian Ales
29,10 Barrel Brewery
30,Little Cultus Lake
