Rank,Attraction
1,Mount Floyen and the Funicular
2,Bryggen Hanseatic Wharf
3,Troldhaugen Edvard Grieg Museum
4,Mount Ulriken and the cable car
5,Hardangerfjord
6,Stoltzekleiven
7,Vidden Trail between Mt. Fløyen and Mt. Ulriken
8,KODE Art Museums of Bergen
9,Bergen Tourist Information
10,Fish Market
11,Det Hanseatiske Museum og Schoetstuene
12,Fantoft Stavkirke
13,Byparken
14,Gamle Bergen Museum - Bymuseet i Bergen
15,Bergen Aquarium
16,Bergenhus Fortress
17,VilVite Bergen Science Center
18,Lysoen and Ole Bull's Villa
19,Museum Lepramuseet St. Jørgens Hospital
20,The Norwegian Fisheries Museum
21,Pepperkakebyen - The Worlds largest Gingerbread City
22,Rosenkrantz Tower - Bymuseet i Bergen
23,Sailor's Monument
24,St. Mary's Church
25,Bryggens Museum - Bymuseet i Bergen
26,St John's Church
27,Bergenhus Festningsmuesum
28,Bybanen
29,Bergen Maritime Museum
30,The Homeless
