Rank,Attraction
1,"University of California, Berkeley"
2,Tilden Regional Park
3,Tilden Park Little Farm
4,UC Botanical Garden at Berkeley
5,Berkeley Marina
6,Sather Tower
7,Grizzly Peak
8,Berkeley Municipal Rose Garden
9,Indian Rock Park
10,Adventure Playground
11,Lawrence Hall of Science
12,Greek Theater
13,Berkeley Art Museum and Pacific Film Archive (BAMPFA)
14,Berkeley Repertory Theatre
15,Golden Gate Fields
16,Monterey Market
17,Shattuck Avenue
18,Telegraph Avenue
19,Lake Anza
20,Codornices Park
21,Regional Parks Botanic Garden
22,César Chávez Park
23,Berkeley Fire Trails
24,Gilman Brewing Company
25,California Memorial Stadium
26,Blake Garden
27,Aftel Archive of Curious Scents
28,Zellerbach Hall
29,University of California Museum of Paleontology
30,Berkeley Playhouse
