Rank,Attraction
1,Reichstag Building
2,Memorial of the Berlin Wall
3,Pergamonmuseum
4,Museum Island
5,Friedrichstadt-Palast
6,Brandenburg Gate
7,Topography of Terror
8,The Holocaust Memorial - Memorial to the Murdered Jews of Europe
9,East Side Gallery
10,Berliner Dom
11,Neues Museum
12,German Museum of Technology
13,Tiergarten
14,Charlottenburg Palace
15,Zoo Berlin
16,Deutsches Historisches Museum
17,Olympiastadion Berlin
18,Gemaldegalerie
19,Gendarmenmarkt
20,Classic Remise Berlin
21,Berliner Philharmonie
22,Kaiser Wilhelm Memorial Church
23,German Spy Museum Berlin
24,Berlin-Hohenschonhausen Memorial
25,Museum fuer Naturkunde
26,Stasi Museum
27,Palace of Tears
28,Victory Column (Siegessaule)
29,Treptower Park
30,Prenzlauer Berg
