Rank,Attraction
1,Birmingham Back to Backs
2,Birmingham Museum & Art Gallery
3,National Motorcycle Museum
4,Symphony Hall
5,Library of Birmingham
6,Villa Park Stadium Tour
7,Winterbourne House and Garden
8,Birmingham Hippodrome
9,Coffin Works
10,Museum of the Jewellery Quarter
11,Steelhouse Lane Lock-up
12,Gas Street Basin
13,Cannon Hill Park
14,Jewellery Quarter
15,Lickey Hills Country Park
16,Birmingham Wildlife Conservation Park
17,Bullring & Grand Central Birmingham
18,Cadbury World
19,National SEA LIFE Centre Birmingham
20,Aston Hall
21,Edgbaston Cricket Ground
22,Brindleyplace
23,Soho House
24,Grand Central
25,Arena Birmingham
26,Pen Museum
27,Blakesley Hall
28,Birmingham New Street Railway Station
29,Thinktank Birmingham Science Museum
30,Selly Manor
