Rank,Attraction
1,German Mining Museum
2,Ruhr Park
3,Zeiss Planetarium
4,Botanischer Garten
5,Tierpark und Fossilium Bochum
6,Eisenbahnmuseum Bochum
7,Museum unter Tage - MuT
8,Tippelsberg
9,Dorfkirche Stiepel
10,Bochum Touristinfo
11,Anneliese Brost Musikforum
12,Moritz Fiege Brewery
13,LWL-Industriemuseum Zeche Hannover
14,RuhrCongress
15,Jahrhunderthalle Bochum
16,Bismarckturm
17,Galerie m Bochum
18,Sankt-Joseph-Kirche
19,Kunstmuseum Bochum
20,Bochum Hauptbahnhof
21,Kuhhirten Denkmal
22,Bermuda 3Eck
23,Grande Ruota
24,Rathaus
25,Innenstadt
26,Herz-Jesu-Kirche - Bochum
27,Stadtarchiv Bochum
28,Pfarrgemeinde Sankt Marien Bochum-Stiepel
29,Lohrheidestadion Bochum-Wattenscheid
30,Rätselraum Ruhrpott
