Rank,Attraction
1,Boise River Greenbelt
2,World Center For Birds of Prey
3,Old Idaho Penitentiary
4,Freak Alley Gallery
5,Idaho State Capitol Building
6,Camel's Back Park
7,Bogus Basin Mountain Recreation Area
8,Idaho Botanical Garden
9,Kathryn Albertson Park
10,Boise Train Depot
11,Julia Davis Park
12,Albertsons Stadium
13,Idaho Anne Frank Human Rights Memorial
14,Lucky Peak State Park
15,Barber Park
16,Hyde Park
17,Idaho State Museum
18,Morrison-Knudsen Nature Center
19,Ann Morrison Park
20,Zoo Boise
21,Boise Art Glass
22,Ridge to River Trail System
23,Basque Museum & Cultural Center
24,St. John's Cathedral
25,Boise State University
26,Snake River Birds of Prey National Conservation Area
27,Discovery Center of Idaho
28,Aquarium of Boise
29,Idaho Shakespeare Festival
30,Payette Brewing Company
