Rank,Attraction
1,Haus der Geschichte der Bundesrepublik Deutschland
2,Rheinaue
3,Zoologisches Museum Konig
4,"Botanical Garden, Bonn"
5,HARIBO Fabrikverkauf Factory
6,Beethoven-Haus Bonn
7,Cherry Blossom
8,Altes Rathaus
9,Bonner Weihnachtsmarkt
10,Bonner Münster
11,Beethoven-Denkmal
12,Bundeskunsthalle
13,Munster Square
14,Arithmeum
15,Rheinisches Landesmuseum Bonn
16,Wildpark Venusberg
17,Kanzlerbungalow
18,August-Macke-Haus
19,Poppelsdorf Palace
20,Kunstmuseum Bonn
21,Godesburg
22,Sterntor
23,Rheinsteig
24,Deutsches Museum Bonn
25,Post Tower
26,St. Remigius Kirche
27,Doppelkirche
28,Namen-Jesu-Kirche
29,World Conference Center Bonn
30,Alter Friedhof
