Rank,Attraction
1,Place de la Bourse
2,The Water Mirror
3,St. Andre Cathedral
4,Musée du Vin et du Négoce
5,La Cité du Vin
6,Jardin Public
7,Grand Theatre
8,Office de Tourisme de Bordeaux
9,Musée d'Aquitaine
10,Monument aux Girondins
11,Marché des Capucins
12,Château Pape Clément
13,Grosse Cloche de Bordeaux
14,La Vieille Eglise Saint-Vincent Mérignac
15,Pont Jacques Chaban Delmas
16,Tour Pey-Berland
17,Porte Cailhau
18,Skatepark Le Hangar Darwin
19,Château Luchey-Halde
20,Promenade Sainte Catherine
21,Pont de Pierre
22,Institut Culturel Bernard Magrez
23,Church of Notre-Dame de Bordeaux
24,Ecosite du Bourgailh
25,Base Sous-Marine de Bordeaux
26,Le Pin-Galant
27,La Flèche Saint-Michel
28,Zoo de Bordeaux Pessac
29,Chateau Haut-Brion
30,Cite Frugès-Le Corbusier
