Rank,Attraction
1,Bournemouth Beach
2,Russell-Cotes Art Gallery & Museum
3,Hengistbury Head Beach
4,Alum Chine Beach
5,Lower Gardens
6,Oceanarium
7,Southbourne Beach
8,Bournemouth International Centre
9,Boscombe Pier
10,Bournemouth Pier
11,Westbourne
12,Boscombe Chine Gardens
13,Mudeford Sandbank Beach
14,Bournemouth Pavilion Theatre
15,The Square
16,Hengistbury Head Visitor Centre
17,West Cliff Funicular Railway
18,Vitality Stadium
19,Shelley Theatre
20,Bournemouth Big Wheel
21,Bournemouth Natural Science Society
22,Science Zone
23,Poole Hill Brewery
24,St. Peter's Church
25,O2 Academy Bournemouth
26,Castlepoint Shopping Park
27,Bournemouth Tourist Information Centre
28,The Polar Bear on the Isle of Wight
29,Grosvenor Casino Bournemouth
30,Lollipops Play Cafe Bournemouth
