Rank,Attraction
1,Bratislava Old Town
2,Devin Castle
3,Modry Kostol
4,Slavin
5,Cumil
6,Danubiana Meulensteen Art Museum
7,Michalska Brana
8,Eurovea Galleria
9,UFO Observation Deck
10,Old Town Hall
11,Hlavne Namestie
12,Bratislava Castle
13,St. Michael's Tower & Street
14,Hviezdoslavovo Namestie
15,Nedbalka Gallery
16,St. Martin's Cathedral (Dom svateho Martina)
17,Bratislava City Museum (Múzeum Mesta Bratislavy)
18,Multium - space and mirror gallery
19,Schone Naci Statue
20,Slovak Philharmonic
21,Stm Muzeum Dopravy
22,Grassalkovich Palota
23,New Bridge (Novy Most)
24,Statue of Hans Christian Andersen
25,Ondrej Nepela Arena
26,Primates' Palace (Primacialny palac)
27,Antic Gerulata Rusovce
28,Slovak National Theatre
29,Building of Slovak Radio
30,Kapitulska Street
