Rank,Attraction
1,Burgplatz Braunschweig
2,Herzog Anton Ulrich Museum
3,Arche Noah Zoo
4,Brunswick Cathedral
5,Happy Rizzi House
6,Schloss Arkaden
7,Klosterkirche Riddagshausen
8,Altstadtmarkt
9,Schloss Richmond
10,Dankwarderode Castle
11,Rathaus Braunschweig
12,Jakob-Kemenate
13,Eintracht Stadion
14,Staatliches Naturhistorisches Museum
15,Touristinfo Braunschweig Stadtmarketing
16,Prinz-Albrecht-Park
17,Städtisches Museum Braunschweig
18,Lokpark Braunschweig
19,Kennel-Bad
20,Schwarzlichtlowen
21,Quadriga
22,BAD Gliesmarode
23,Magnikirche
24,Braunschweigisches Landesmuseum
25,Kirche St. Aegidien
26,Volkswagen Halle Braunschweig
27,Kohlmarkt
28,Theaterpark
29,Museum Altstadtrathaus
30,Heidbergpark
