Rank,Attraction
1,Reptile House De Aarde Breda
2,Breda's Begijnhof Museum
3,Stadspark Valkenberg
4,Grote of Onze Lieve Vrouwekerk
5,Mastbos Breda
6,Ginnekenmarkt
7,Stedelijk Museum Breda
8,Bierreclame Museum
9,Holland Casino Breda
10,Kasteel Van Breda
11,De Kerkschat - Grote Kerk
12,Miniaturenmuseum Breda
13,Kasteel Bouvigne
14,Spanjaardsgat
15,Willem Merkxtuin
16,Historische Kilometer
17,Wolfslaar Breda
18,Belcrum Beach
19,Grote Markt
20,Joepie! Binnenspeeltuin
21,Polish War Cemetery
22,Breda's Museum
23,Sint Antoniuskathedraal
24,VVV Breda
25,Sint Joostkapel Breda
26,Winkelplein 't Sas
27,NAC Museum
28,Bibliotheek Breda
29,VVV Breda Grote Markt
30,Pol38
