Rank,Attraction
1,Schnoor Viertel
2,Historische Altstadt
3,Burgerpark
4,Town Musicians of Bremen (Bremer Stadtmusikanten)
5,Marktplatz
6,Universum Bremen
7,Rhododendronpark Bremen
8,U-Boot Bunker Valentin
9,Bremen Town Hall
10,Schlachte
11,Böttcherstraße
12,GOP Variete-Theater Bremen
13,St. Peter's Cathedral (St. Petri Dom)
14,Beck's Brewery Tour
15,Ubersee-Museum
16,Botanika
17,Weser Stadion (Weser Stadium)
18,Kunsthalle Bremen
19,Mühle am Wall
20,Der Bremer Roland
21,Bremer Geschichtenhaus
22,Bremer Freimarkt
23,Wallanlagen Park
24,Schuppen Eins - Zentrum fur Automobilkultur und Mobilität
25,Glockenspiel House
26,Bremen Hauptbahnhof
27,Phil Porter Salon Obscura
28,Museen Boettcherstrasse
29,Paula Modersohn-Becker Museum
30,Knoops Park
