Rank,Attraction
1,Cathedral of St. Peter and St. Paul
2,Villa Tugendhat
3,Spilberk Castle
4,VIDA! Science Centre
5,10-Z bunker Brno
6,Brno Dam
7,Brno Technical Museum
8,Ossuary at the Church of St James
9,Old Town Hall
10,Brno Observatory and Planetarium
11,Namesti Svobody
12,Labyrinth Under the Vegetable Market
13,Obora Holedna
14,Capuchin Monastery and Vault
15,Mendel Museum
16,Zoo Brno
17,Park Lužánky
18,Zelny trh
19,Museum of Romani Culture
20,St. Jacob's Church
21,Vila Stiassni
22,Statni Hrad Veveri
23,Anthropos Pavilon
24,Památník Mohyla míru
25,Jurkovic Villa
26,Church of St. James
27,Moravian Gallery
28,Botanicka Zahrada (Hortus Botanicus)
29,Vystaviste
30,Open Garden
