Rank,Attraction
1,Grand Place
2,Musee des Beaux-Arts d'Ixelles
3,Musee Constantin Meunier
4,Happy Day Art & Live
5,Train World
6,Place du Châtelain
7,Luxembourg Square
8,Park Malou
9,Parc Georges Henri
10,Ixelles Cemetery
11,Casa Natal de Julio Cortazar
12,Musee de la medecine
13,Beguinage d'Anderlecht
14,Galerie La Forest Divonne
15,National Basilica of the Sacred Heart
16,Eglise Saint Gilles
17,Royal Museum of the Armed Forces and of Military History
18,Rene Magritte Museum - Abstract Art Museum
19,Parc de Wolvendael
20,Cow Working Gallery
21,Solvay Library
22,Collegiale Saints Pierre et Guidon
23,Le Botanique
24,King Baudouin Park
25,Les Galeries Royales Saint-Hubert
26,Eglise des Carmes
27,Galerie Albert Baronian
28,Musical Instruments Museum (MIM)
29,Cimetière de Bruxelles
30,Eglise de la Sainte Croix
