Rank,Attraction
1,South Carlsbad State Beach
2,Carlsbad Village
3,The Flower Fields at Carlsbad Ranch
4,LEGOLAND California
5,The Miniature Engineering Craftsmanship Museum
6,Museum of Making Music
7,Leo Carrillo Ranch Historic Park
8,Carlsbad Premium Outlets
9,GIA Museum
10,Batiquitos Lagoon
11,Sea Life Aquarium
12,U-Pick Carlsbad Strawberry Company
13,Carlsbad Village Farmers' Market
14,The Forum Carlsbad
15,Witch Creek Winery
16,Barrio
17,Alga Norte Community Park
18,New Village Arts Theatre
19,Carlsbad Convention and Visitor Information
20,Agua Hedionda Lagoon Discovery Center
21,Carlsbad Village Art & Antique Mall
22,Poinsettia Park
23,Carlsbad City Library
24,Georgina Cole Library
25,Carruth Cellars Tasting Room
26,K1 Speed Carlsbad
27,Magee Park
28,Carlsbad Skatepark
29,St. Michael's by-the-Sea Episcopal Church
30,Stagecoach Park
