Rank,Attraction
1,Mount Etna
2,Monastero dei Benedettini
3,A' Piscaria Mercato del Pesce
4,Piazza Duomo
5,Museo Storico dello Sbarco in Sicilia 1943
6,Palazzo Biscari
7,Giardino Bellini
8,Basilica Catedrale Sant'Agata V.M. Catania
9,Via Etnea
10,Parco Archeologico Greco Romano di Catania
11,Chiesa della Badia di Sant'Agata
12,Orto Botanico dell'Università di Catania
13,Teatro Massimo Bellini
14,Fera 'o Luni - Mercato di piazza Carlo Alberto
15,Museo Civico Castello Ursino
16,Chiesa San Benedetto
17,Chiesa di San Giuliano
18,Palazzo degli Elefanti
19,Chiesa di San Nicolo All'Arena
20,Via dei Crociferi
21,Museo del Cinema di Catania
22,Fontana dell'Elefante
23,Fontana dell'Amenano
24,Piazza Università
25,Basilica Collegiata
26,Palazzo Della Cultura
27,Saint Biagio Church - Sant'Agata alla Fornace
28,Anfiteatro Romano
29,Polo Tattile Multimediale
30,"MacS, Museo Arte Contemporanea Sicilia"
