Rank,Attraction
1,Middleton Place
2,Joe Riley Waterfront Park
3,Arthur Ravenel Jr. Bridge
4,Fort Sumter National Monument
5,McLeod Plantation Historic Site
6,Battery & White Point Gardens
7,Nathaniel Russell House
8,Old Exchange & Provost Dungeon
9,South Carolina Aquarium
10,Magnolia Plantation & Gardens
11,Pineapple Fountain
12,Charleston City Market
13,Morris Island Lighthouse
14,Old Slave Mart Museum
15,Aiken-Rhett House
16,Charleston Visitor Center
17,Drayton Hall
18,Charles Towne Landing State Historic Site
19,The Black Fedora Comedy Mystery Theatre
20,Cathedral of Saint John the Baptist
21,The Charleston Museum
22,The Citadel
23,Rainbow Row
24,St. Michael's Church
25,Magnolia Cemetery
26,College of Charleston
27,Heyward-Washington House
28,Kahal Kadosh Beth Elohim
29,Edmondston-Alston House
30,Dock Street Theater
