Rank,Attraction
1,Wasserschloss Klaffenbach
2,Saechsisches Industriemuseum
3,Karl-Marx-Monument
4,Kunstsammlungen Chemnitz
5,Staatliches Museum für Archäologie Chemnitz
6,Museum Gunzenhauser
7,Botanischer Garten Chemnitz
8,Tierpark Chemnitz
9,Schauplatz Eisenbahn
10,Villa Esche
11,Das Chemnitzer Rathaus
12,Die Theater Chemnitz
13,Museum für sächsische Fahrzeuge Chemnitz e.V.
14,Besucherbergwerk Felsendome Rabenstein
15,Historischer Theaterplatz
16,Burg Rabenstein
17,Roter Turm
18,Center Sachsenallee
19,Galerie Roter Turm
20,Fritz Theater
21,Das Chemnitzer Rathaus
22,Küchwaldpark
23,Straßenbahnmuseum Chemnitz
24,Parkeisenbahn Chemnitz
25,Chemnitzer Turmglockenspiel - Das Carillon
26,Der Sonnenberg
27,Messe Chemnitz
28,Jakobikirche
29,Das Chemnitzer Kabarett
30,Tourist-Information Chemnitz
