Rank,Attraction
1,Historical and ethnographic museum Manor Galskih
2,Metallurgy Industry Museum
3,Museum House I.A.Milyutina
4,Monument to the founders of Cherepovets - Monks Feodosy and Athanasius
5,Vereschagin's House Museum
6,Rainbow Aquapark
7,Monument to Metallurgists Preyemstvennost Pokoleniy
8,Cathedral of the Resurrection
9,Embankment of Cherepovets
10,Zelyonaya Planeta Interactive-Educational Center
11,Church of the Assumption
12,Nature Museum
13,Cherepovets Chamber Theater
14,Museum of Military Equipment Victory Park
15,Museum of History and Local Lore
16,Monument to the Nurse
17,Cherepovets Museum of Arts
18,Archaeology Museum
19,Ice Dome
20,Bust of Nikolai Rubtsov
21,Monument to the Builders of Cherepovets
22,Eureka Science Museum
23,Children's Museum
24,Fire Safety Museum
25,Interactive Museum Galinskiye Sails
26,Volga–Baltic Waterway
27,Light Music Fountain
28,Lunin Art Gallery
29,Russian National Theater
30,Exhibition Hall
