Rank,Attraction
1,Stanley Park
2,Royal BC Museum
3,Whistler Blackcomb
4,Myra Canyon Park
5,Lost Lake
6,Capilano Suspension Bridge Park
7,Kinsol Trestle
8,Whistler Mountain Bike Park
9,Pacific Rim National Park
10,Steveston Heritage Fishing Village
11,Sea to Sky Highway
12,Lynn Canyon Park
13,Brandywine Falls Provincial Park
14,Neck Point Park
15,Crescent Beach
16,Riverside Park - Centre of the City
17,Skaha Lake Park
18,Penticton Farmers' Market
19,Whistler Sliding Centre
20,Harbourfront Walkway
21,Bridal Veil Falls Waterfall
22,Giant Cedars Boardwalk Trail
23,Newcastle Island
24,Burnaby Village Museum
25,The Whistler Train Wreck Trail
26,Mill Lake
27,Squamish Lil'wat Cultural Centre
28,Sea to Sky Gondola
29,Elk Falls Provincial Park
30,Davison Orchards Country Village
