Rank,Attraction
1,Rock & Roll Hall of Fame
2,Cleveland Museum of Art
3,West Side Market
4,A Christmas Story House
5,Cleveland Metroparks Zoo
6,Progressive Field
7,Lake View Cemetery
8,Heinen's Downtown
9,Edgewater Park
10,USS Cod Submarine Memorial
11,Quicken Loans Arena
12,Cleveland Metroparks
13,Cleveland Botanical Garden
14,PlayhouseSquare
15,Cleveland Museum of Natural History
16,Historic Little Italy in Cleveland
17,Rocky River Reservation
18,Cleveland Public Library
19,Greater Cleveland Aquarium
20,Old Arcade
21,Terminal Tower
22,Cleveland Orchestra at Severance Hall
23,Cleveland History Center
24,University Circle
25,James A. Garfield Monument
26,Children's Museum of Cleveland
27,FirstEnergy Stadium
28,JACK Cleveland Casino
29,North Chagrin Reservation
30,Steamship William G. Mather
