Rank,Attraction
1,Franklin Park Conservatory and Botanical Gardens
2,Easton Town Center
3,Center of Science and Industry (COSI)
4,North Market Farmer's Market
5,Scioto Mile
6,German Village
7,Ohio Stadium
8,Ohio Theater
9,Otherworld
10,Columbus Museum of Art
11,Wagner-Hagans Auto Museum
12,Nationwide Arena
13,Ohio State University
14,Huntington Park
15,Shadowbox Live
16,Ohio Statehouse
17,Topiary Garden
18,The Ohio Expo Center & State Fair
19,Short North Arts District
20,Palace Theater
21,Greater Columbus Convention Center
22,Downtown Columbus
23,Schiller Park
24,Whetstone Park / Park of Roses
25,Ohio History Center
26,Hollywood Casino Columbus
27,Polaris Fashion Place
28,National Veterans Memorial and Museum
29,LEGOLAND Discovery Center Columbus
30,Hayden Falls Park
