Rank,Attraction
1,Mamaia Beach
2,The Mosque of Constanta - Minaret
3,Tomis Harbor
4,Constanta Casino
5,Telegondola din Mamaia
6,Museum of National History and Archeology
7,Ovidiu Square
8,Constanta Beach
9,Saints Paul and Peter Cathedral
10,Delfinariu
11,Corbu Beach
12,Tropaeum Traiani Monument
13,Faleza Cazino Constanta
14,Aquarium of Constanta
15,Dobrogea Gorges Reserve
16,City Park Mall
17,Aqua magic park
18,The Roman Edifice with Mosaic
19,Eforie Sud
20,Folk Art Museum (Muzeul de Arta Populara)
21,Romanian Navy Museum
22,Costinesti
23,Saint Andrew's Cave Monastery
24,Tomis Antiques
25,The Natural Sciences Museum Complex
26,VIVO!
27,St. Mina Orthodox Church
28,Biserica Ortodoxa Schimbarea la Fata
29,Gravity Park
30,The Art Museum
