Rank,Attraction
1,Nyhavn
2,Tivoli Gardens
3,Rosenborg Castle
4,Frederiksberg Slot
5,Our Saviour's Church
6,Christiansborg Slot
7,Torvehallerne
8,Rundetårn
9,Ny Carlsberg Glyptotek
10,Copenhagen ZOO
11,The National Museum of Denmark
12,Cisternerne
13,Sondermarken
14,Kastellet
15,The Danish Music Museum
16,Designmuseum Danmark
17,Haveselskabs Have
18,Landbohøjskolens Have
19,Davids Samling (The David Collection)
20,Frederiks Kirke (Marmorkirken)
21,Botanical Garden
22,Amalienborg
23,Copenhagen City Hall
24,Stroeget
25,Copenhagen Opera House
26,Assistens Cemetery
27,Frederiksberg Have
28,Amager Strandpark
29,The Open Air Museum
30,Grundtvig Church (Grundtvigs Kirke)
