Rank,Attraction
1,Mezquita Cathedral de Cordoba
2,Jewish Quarter (Juderia)
3,Patios de Cordoba
4,Historic Centre of Cordoba
5,Alcazar de los Reyes Cristianos
6,Palacio de Viana
7,Roman Bridge
8,Los Patios De San Basilio
9,Casa de Sefarad
10,Patio de los Naranjos
11,Calleja de las Flores
12,Museo Arqueológico de Córdoba
13,Calahorra Tower
14,Medina Azahara
15,Mercado Victoria
16,Casa de las Cabezas- Patios de Leyenda
17,Capilla Mudéjar de San Bartolomé
18,Museo de Julio Romero de Torres
19,Plaza de la Corredera
20,Cristo de los Faroles
21,Plaza de Las Tendillas
22,Tiered Gardens of The Alcazaba
23,Casa Andalusi
24,Las Ermitas de Cordoba
25,Puerta del Almodovar
26,Posada del Potro
27,Sinagoga
28,Puerta del Puente
29,Zuheros
30,Bodegas Campos
