Rank,Attraction
1,Spike Island
2,Nano Nagle Place
3,The English Market
4,Cork City Gaol
5,Blarney Castle & Gardens
6,Ballycotton Cliff Walk
7,University College Cork (UCC)
8,Fitzgerald Park
9,Blarney Stone
10,Glenview Gardens & Fairy Trail
11,St. Anne's Church
12,Crawford Art Gallery
13,St Fin Barre's Cathedral
14,Elizabeth Fort
15,Royal Gunpowder Mills
16,Roman Catholic Church
17,Camden Fort Meagher
18,Ballincollig Regional Park
19,Cork City Tourist Information Centre
20,Waterloo Round Tower
21,St. Peter and Paul's Church
22,St Patrick Street
23,Lime Kiln
24,Ballincollig Castle
25,Collins Barracks Museum
26,CIT Blackrock Castle Observatory
27,Church of Ireland Church
28,Butter Museum
29,Greyhound Stadium - Curraheen Park
30,Michael Collins Monument
