Rank,Attraction
1,Saunders Hydro Dam Visitor Centre
2,Historic SDG Jail
3,Waterfront Trail
4,Cornwall Community Museum
5,Marlin Orchards & Garden Centre
6,Lamoureux Park
7,Rurban Brewing
8,Gray's Creek Conservation Area
9,Legion Memorial Park
10,Glen Walter Regional Park
11,Big Ben Ski Centre
12,Marrow and Spice
13,The Art Gallery (TAG) Cornwall
14,Locomotive 17
15,Rush Hour Escapes
16,Escape Manor
17,McMaze
18,Archie's Family Golf Centre
19,Galaxy Cinemas Cornwall
20,Rack-Em-Up Billiards
21,Hybrid Marine
22,Olympia Bowl
23,Cornwall Civic Complex & Convention Centre
24,Summerheights Golf Links
25,Remington's Deli & Bar
26,The Port Theatre
27,Envy Night Spot
28,Cornwall Square
29,Cornwall Sports Hall of Fame
30,BIKE CENTRIC
