Rank,Attraction
1,Croydon Airport Visitor Centre
2,Museum Of Croydon
3,Wandle Park
4,Croham Hurst Woods
5,Whitgift Shopping Centre
6,Shirley Windmill
7,Croydon Minster
8,Millers Pond
9,Addington Hills
10,Fairfield Halls
11,St Michael’s Church
12,St Mary's Catholic Church
13,Littleheath Woods
14,Oscar Dahling Antiques
15,RISEgallery
16,Mecca Bingo and Slots Croydon
17,Selsdon Wood Nature Reserve
18,New Addington Market
19,Hutchinson's Bank
20,CroyWall Climbing Centre
21,Monks Hill Leisure Centre
22,Physical Energy Statue
23,John Lewis & Partners
24,Exciting Escapes
25,The Ludoquist
26,Coombe Wood
27,Real Transfers
28,Flip Out London Pinball Club
29,The Spread Eagle Pub & Theatre
30,Kidspace Croydon
