Rank,Attraction
1,Prague Zoo
2,Cathedral of St. Peter and St. Paul
3,Staromestske namesti
4,Villa Tugendhat
5,Diana Lookout Tower
6,Spilberk Castle
7,Charles Bridge
8,St. Vitus Cathedral
9,Dolní Vítkovice
10,Cesky Krumlov Castle
11,VIDA! Science Centre
12,Zoo Ostrava
13,Pilsner Urquell Brewery
14,Prague Castle
15,Historic Center of Cesky Krumlov
16,iQLANDIA
17,10-Z bunker Brno
18,Gardens and Castle at Kromeríz
19,Katedrála sv. Václava
20,Jested
21,Brno Dam
22,Brno Technical Museum
23,St Barbara's Cathedral
24,Ossuary at the Church of St James
25,Lesser Town
26,Hrad Cheb
27,Mlýnská kolonáda
28,Black Tower (Cerna vez)
29,Bohemian Switzerland National Park
30,The Jewish Quarter and St Procopius' Basilica in Trebic
