Rank,Attraction
1,The Sixth Floor Museum at Dealey Plaza
2,Dallas Arboretum & Botanical Gardens
3,Reunion Tower
4,The George W. Bush Presidential Library and Museum
5,Perot Museum of Nature and Science
6,Dallas Museum of Art
7,Dallas Cattle Drive Sculptures
8,Dealey Plaza National Historic Landmark District
9,Klyde Warren Park
10,The Dallas World Aquarium
11,Bishop Arts District
12,White Rock Lake Park
13,Deep Ellum (Deep Elm)
14,American Airlines Center
15,Dallas Zoo
16,NorthPark Center
17,Pioneer Plaza
18,Rainbow Vomit
19,Frontiers of Flight Museum
20,Dallas Holocaust and Human Rights Museum
21,Highland Park Village
22,Katy Trail
23,Giant Eyeball
24,Nasher Sculpture Center
25,Morton H. Meyerson Symphony Center
26,Margaret Hunt Hill Bridge
27,Galleria Dallas
28,Dallas Farmers Market
29,Dallas Heritage Village at Old City Park
30,Deep Ellum Brewing Company
