Rank,Attraction
1,Detroit Institute of Arts
2,Motown Museum
3,Detroit RiverFront
4,Eastern Market
5,The Ford Piquette Avenue Plant
6,The Guardian Building
7,Belle Isle Park
8,Comerica Park
9,Detroit People Mover
10,Ford Field
11,Detroit Downtown
12,Campus Martius Park
13,Detroit Historical Museum
14,Fisher Building
15,Fox Theatre
16,Greektown
17,Charles H. Wright Museum of African American History
18,Little Caesars Arena
19,GM Renaissance Center
20,Detroit Opera House
21,Mexicantown
22,DNR Outdoor Adventure Center
23,The Heidelberg Project
24,Belle Isle Aquarium
25,Fisher Theatre
26,TCF Center
27,Michigan Central Station
28,Old St. Mary's Church
29,Detroit Symphony Orchestra
30,The Z Lot
