Rank,Attraction
1,Signal Iduna Park
2,German Football Museum
3,Westfalenpark
4,Lwl Industrial Museum Zollern
5,Dortmund Christmas Market
6,Botanical garden Rombergpark
7,Zoo Dortmund
8,Bergmann Brauerei
9,Florian Tower (Florianturm)
10,DASA
11,Hohensyburg Castle
12,Brewery Museum Dortmund
13,Fredenbaumpark
14,Kokerei Hansa
15,Thier Gallery
16,Dortmunder U
17,Binarium
18,Museum für Kunst und Kulturgeschichte
19,BVB Event & Catering GmbH
20,Mahn- und Gedenkstätte Steinwache
21,Theater Olpketal
22,Reinoldikirche
23,Ostfriedhof Dortmund
24,Solebad Wischlingen
25,Dortmund Theatre - Opera House
26,St. Petri Ev. Stadtkirche
27,Propsteikirche
28,Marienkirche
29,Phönix West
30,Schloss Bodelschwingh
