Rank,Attraction
1,Classic Remise Dusseldorf
2,Rheinturm
3,Königsallee
4,Rheinuferpromenade
5,MedienHafen
6,Wildpark Grafenberg
7,Schloss Benrath
8,Carlsplatz Markt
9,River Rhine
10,Nord Park
11,Aquazoo Loebbecke Museum
12,Museum Kunstpalast
13,Kunstsammlung Nordrhein-Westfalen
14,Stadterhebungsmonument
15,EKO-Haus der Japanischen Kultur e.V.
16,St. Lambertus Church
17,Hofgarten
18,Burgplatz
19,Kirche St. Andreas
20,Merkur Spielarena
21,Kiefernstrasse Community
22,K21 Kunstsammlung NRW
23,Marktplatz
24,Kaiserpfalz Kaiserswerth
25,Dusseldorf-Oberkassel
26,Sky Train
27,Japanese Garden
28,Tonhalle Concert Hall
29,Schlossturm
30,Köe-Bogen
