Rank,Attraction
1,Landschaftspark
2,Tiger & Turtle
3,Sechs-Seen-Platte Duisburg
4,Zoo Duisburg
5,Museum Kuppersmuhle
6,Weisse Flotte Duisburg
7,Innenhafen Duisburg
8,Schauinsland-Reisen-Arena
9,Museum der Deutschen Binnenschifffahrt
10,Theater am Marientor (TaM)
11,Forum Duisburg
12,Tourist Information Duisburg
13,Lehmbruck Museum
14,Rathaus Duisburg
15,Explorado Duisburg Kindermuseum
16,Toeppersee
17,Alsumer Mountain
18,Besucherzentrum im Landschaftspark Duisburg-Nord.
19,Lifesaver Brunnen
20,Aussichtsturm Wolfsberg Duisburg
21,Casino Duisburg
22,Salvatorkirche
23,CityPalais Duisburg
24,Konigsgalerie Duisburg
25,Konig - Brauerei in Duisburg - Beeck.
26,Stadtmuseum Duisburg
27,Duisburg Hauptbahnhof
28,Radiomuseum in Duisburg - Ruhrort.
29,Blauer See Duisburg-Bissingheim
30,Mercatorhalle
