Rank,Attraction
1,West Edmonton Mall
2,Fort Edmonton Park
3,Elk Island National Park
4,Alberta Legislature Building
5,High Level Bridge Streetcar
6,TELUS World of Science - Edmonton
7,Whyte Avenue
8,Muttart Conservatory
9,Winspear Centre
10,World Waterpark
11,Ice Castles
12,Royal Alberta Museum
13,William Hawrelak Park
14,Mill Creek Ravine Park
15,Alberta Aviation Museum
16,Galaxyland
17,University of Alberta
18,Old Strathcona Farmers' Market
19,100 Street Funicular
20,Alberta Railway Museum
21,Valley Zoo
22,Rogers Place
23,Old Strathcona
24,Rundle Park
25,Terwillegar Park
26,Old Strathcona Antique Mall
27,Kingsway Mall
28,Commonwealth Stadium
29,Art Gallery of Alberta
30,Rutherford House Provincial Historic Site
