Rank,Attraction
1,DAF Museum
2,Down Town Gourmet Market
3,Philips Museum
4,Stadsbrouwerij Eindhoven
5,St. Catharinakerk
6,Bottle Distillery
7,preHistorisch Dorp
8,Van Abbemuseum
9,Speelpark de Splinter
10,PSV Museum
11,Eindhoven
12,Strijp-S
13,Piet Hein Eek
14,Evoluon
15,De Blob
16,Stratumseind
17,Lichtjesroute
18,Flying Pins
19,Feelgood Market
20,Silly Walks Tunnel
21,Temple des Augustins
22,Parktheater
23,Muziekgebouw
24,Hovenring
25,Falconcrest Roofvogelpark
26,Holland Casino Eindhoven
27,De Tongelreep Swimming Paradise
28,Anne Frankplantsoen
29,Area 51 Skatepark
30,Piazza Center
