Rank,Attraction
1,The Water Conservation Garden
2,Summers Past Farms
3,Sycuan Casino
4,San Diego Aerospace Museum Restoration Facility
5,Heritage of the Americas Museum
6,Parkway Plaza Mall
7,Regal Cinemas
8,Wieghorst Western Heritage Center
9,Air Group One - Commemorative Air Force Museum
10,Sprouts Farmers Market
11,Burning Beard Brewing
12,Weighorst Museum
13,Sky Combat Ace
14,Taylor Guitars
15,P2K Range
16,The Moonlight Serenade Orchestra
17,THE HALF MOON LIMOS
18,Singing Hills Country Club - Willow Glen Course
19,Spa Ritual
20,Glamour Girlz Boutique
21,Edwards Rancho San Diego Stadium 15
22,SPA33
23,Lindsay Hoffman
24,Therapeutic Massage By Wendy
25,ERoma Day Spa
26,Massage By Ashley Lynne
27,Diego Party Bus
28,HELLO Massage
29,Heaven Sent Massage And Day Spa
30,Art World Western Heritage Gallery
