Rank,Attraction
1,Huerto Del Cura Jardin Artistico Nacional
2,Palmeral de Elche
3,Playa El Carabassi
4,Basílica de Santa Maria
5,Misteri D'Elx
6,Rio Safari Elche
7,MAHE - Museu Arqueològic i d'Història d'Elx
8,Palmeral of Elche
9,Playa Del Pinet
10,Museo Paleontologico de Elche
11,Elche Tourist Information Office
12,Plaça de la Glorieta
13,Banys Àrabs
14,Museo Escolar de Pusol
15,Parque Arqueologico la Alcudia
16,Museo del Palmeral Huerto de San Plácido
17,Torre de la Calaforra
18,Ruta Outlet Elche Parque Empresarial
19,Museo de la Festa
20,Gran Teatro de Elche
21,Pantà d'Elx
22,El Plantío Golf Resort
23,Palau d’Altamira
24,Plaça de la Mercè
25,Paseo De La Estacion
26,Ternari del Misteri d'Elx
27,Plaça de Santa Isabel
28,Museo de la Virgen
29,Proyecto Vibora II
30,Las Tres Marias
