Rank,Attraction
1,Zollverein Coal Mine Industrial Complex in Essen
2,Botanischer Garten Grugapark
3,Museum Folkwang
4,GOP Variete-Theater Essen
5,Villa Hugel
6,Old Town Kettwig
7,Ruhr Museum
8,Red Dot Design Museum
9,Kruppsiedlung Margarethenhohe
10,Old Town Werden
11,Einkaufszentrum Limbecker Platz
12,Essener Dom
13,Aalto Theater
14,Alte Synagoge
15,Philharmonie Essen
16,Messe Essen
17,Colosseum theater
18,Phanomania Erfahrungsfeld
19,Daytona Kartbahn
20,Ronald McDonald Haus
21,Dom-Schatzkammer
22,Thyssen Krupp Hauptquartier
23,Glockenspiel am Deiterhaus
24,Mineralien Museum
25,Ruttenscheiderstrasse
26,Schloss Borbeck
27,Kettwigerstrasse
28,Burgruine Isenburg
29,Zeche Carl
30,Soul of Africa Museum
