Rank,Attraction
1,Flying Heritage & Combat Armor Museum
2,Imagine Children's Museum
3,Schack Art Center
4,Howarth Park
5,Angel of the Winds Arena
6,Museum of Flight Restoration Center
7,Legion Park
8,Jetty Island
9,Grand Avenue Park
10,Evergreen Arboretum & Gardens
11,Spencer Island Park
12,Everett Farmers Market
13,Village Theatre - Everett
14,Narbeck Wetland Sanctuary Park
15,The Historic Everett Theatre
16,At Large Brewing
17,Port of Everett Marina
18,Thornton Sullivan Park
19,Lazy Boy Brewing
20,Port Gardner Bay Winery
21,Great American Casino Everett
22,Walter E. Hall Park
23,Rotary Park
24,Green Lantern Trail
25,Green Lantern Park
26,Hauge Homestead Park
27,High Trek Adventures & Ziplines
28,Funko HQ Store
29,Escape Scene
30,Island Adventure Whale Watching
