Rank,Attraction
1,Gallerie Degli Uffizi
2,Piazzale Michelangelo
3,Galleria dell'Accademia
4,Basilica of Santa Croce
5,Duomo - Cattedrale di Santa Maria del Fiore
6,Piazza del Duomo
7,Palazzo Vecchio
8,Cupola del Brunelleschi
9,Palazzo Pitti
10,Piazza della Signoria
11,Basilica San Miniato al Monte
12,Mercato Centrale
13,Museo dell'Opera del Duomo
14,Campanile di Giotto
15,Museo di San Marco
16,Ponte Vecchio
17,Museo Nazionale del Bargello
18,Cappelle Medicee
19,Church of Santa Maria Novella
20,Museo Galileo - Institute and Museum of the History of Science
21,Centro Storico
22,Museo di Palazzo Vecchio
23,Galleria Palatina in Palazzo Pitti
24,Basilica di San Lorenzo
25,Leonardo da Vinci Interactive Museum®
26,Battistero di San Giovanni
27,Giardino Bardini
28,Piazza Santa Croce
29,Palazzo Strozzi
30,Stibbert Museum
