Rank,Attraction
1,Fort Lauderdale Beach
2,Las Olas Boulevard
3,Las Olas Beach
4,Bonnet House Museum and Gardens
5,Intracoastal Waterway
6,Fort Lauderdale Beach Park
7,Hugh Taylor Birch State Park
8,Riverwalk Fort Lauderdale
9,Port Everglades
10,Stranahan House
11,Fort Lauderdale Antique Car Museum
12,Sun Trolley
13,Broward Center for the Performing Arts
14,NSU Art Museum Fort Lauderdale
15,New River
16,Galleria
17,History Fort Lauderdale
18,International Swimming Hall of Fame
19,Swap Shop
20,Naval Air Station Fort Lauderdale Museum
21,Balearia Caribbean
22,Coral Ridge Mall
23,The Wharf Fort Lauderdale
24,Parker Playhouse
25,15th Street Fisheries
26,Volunteer Park
27,Everglades and Francis S. Taylor Wildlife Management Area
28,Holiday Park
29,Westfield Broward
30,Broward County Main Library
