Rank,Attraction
1,Fort Wayne Children's Zoo
2,Parkview Field
3,Allen County Public Library
4,Foellinger-Freimann Botanical Conservatory
5,The Embassy Theatre
6,Lakeside Park & Rose Garden
7,Science Central
8,Castle Gallery
9,Clyde Theatre
10,Kreager Park
11,Fort Wayne Museum of Art
12,Glenbrook Square Mall
13,Regal Cinema
14,Eagle Marsh Nature Preserve
15,Grand Wayne Convention Center
16,Cathedral of the Immaculate Conception
17,Lindenwood Cemetery
18,Historic Fort Wayne
19,Fort Wayne Trails
20,Buckner Park
21,Brookside Mansion
22,Foellinger Theatre - Fort Wayne Parks and Recreation
23,Promenade Park
24,Fort Wayne Firefighters Museum
25,History Center
26,Fox Island County Park
27,Fort Wayne Railroad Historical Society
28,Jefferson Pointe
29,Dr. Martin Luther King Jr Memorial Bridge
30,Fort Wayne Visitors Center
